"filename", "language", "C", "comment", "blank", "total"
"/home/lilefebv/Documents/cursus/FdF/42-FdF/srcs/camera/calcs.c", "C", 38, 11, 7, 56
"/home/lilefebv/Documents/cursus/FdF/42-FdF/srcs/camera/key_movements.c", "C", 42, 11, 5, 58
"/home/lilefebv/Documents/cursus/FdF/42-FdF/srcs/camera/movements.c", "C", 74, 11, 9, 94
"/home/lilefebv/Documents/cursus/FdF/42-FdF/srcs/console.c", "C", 65, 11, 6, 82
"/home/lilefebv/Documents/cursus/FdF/42-FdF/srcs/env/font.c", "C", 64, 11, 8, 83
"/home/lilefebv/Documents/cursus/FdF/42-FdF/srcs/env/inits.c", "C", 91, 11, 8, 110
"/home/lilefebv/Documents/cursus/FdF/42-FdF/srcs/env/map_line.c", "C", 75, 11, 8, 94
"/home/lilefebv/Documents/cursus/FdF/42-FdF/srcs/env/parsing.c", "C", 63, 11, 8, 82
"/home/lilefebv/Documents/cursus/FdF/42-FdF/srcs/events/actions.c", "C", 61, 11, 7, 79
"/home/lilefebv/Documents/cursus/FdF/42-FdF/srcs/events/hooks.c", "C", 76, 11, 7, 94
"/home/lilefebv/Documents/cursus/FdF/42-FdF/srcs/fdf.c", "C", 25, 11, 5, 41
"/home/lilefebv/Documents/cursus/FdF/42-FdF/srcs/free.c", "C", 44, 11, 7, 62
"/home/lilefebv/Documents/cursus/FdF/42-FdF/srcs/projections/color_preset.c", "C", 74, 11, 7, 92
"/home/lilefebv/Documents/cursus/FdF/42-FdF/srcs/projections/matrix.c", "C", 84, 11, 8, 103
"/home/lilefebv/Documents/cursus/FdF/42-FdF/srcs/projections/matrix_calc.c", "C", 35, 11, 7, 53
"/home/lilefebv/Documents/cursus/FdF/42-FdF/srcs/projections/projection_point.c", "C", 77, 11, 10, 98
"/home/lilefebv/Documents/cursus/FdF/42-FdF/srcs/rendering/draw_lines.c", "C", 91, 11, 12, 114
"/home/lilefebv/Documents/cursus/FdF/42-FdF/srcs/rendering/draw_string.c", "C", 34, 11, 6, 51
"/home/lilefebv/Documents/cursus/FdF/42-FdF/srcs/rendering/frame.c", "C", 66, 11, 9, 86
"/home/lilefebv/Documents/cursus/FdF/42-FdF/srcs/rendering/pixel.c", "C", 49, 11, 8, 68
"/home/lilefebv/Documents/cursus/FdF/42-FdF/srcs/rendering/utils.c", "C", 8, 11, 3, 22
"/home/lilefebv/Documents/cursus/FdF/42-FdF/srcs/rendering/utils_lines.c", "C", 75, 11, 11, 97
"/home/lilefebv/Documents/cursus/FdF/42-FdF/srcs/utils.c", "C", 14, 11, 4, 29
"Total", "-", 1325, 253, 170, 1748